"订单编号","支付状态","发货状态","是否预售订单","下单时间","支付时间","发货时间","会员","客服","产品分类","产品名称","商品价格","成交价","数量","商品小计","订单总价","配送费用","已支付金额","支付手续费","优惠券使用金额","优惠券编号","优惠券面额","支付方式","收货人","省份","市","县/区","邮编"
`400201708281649221254`,"已支付","未发货","否","2017-08-28 16:49:22","","","Rocky","暂无客服","收费授权","收费授权","20.000","10.000","1","10","10.000","0.000","0.000","0.000","0.000","","0.000","微信支付","","","","",""
`400201708281649144561`,"未支付","未发货","否","2017-08-28 16:49:14","","","Rocky","暂无客服","收费授权","收费授权","20.000","10.000","1","10","10.000","0.000","0.000","0.000","0.000","","0.000","支付宝","","","","",""
`400201708281648478832`,"已支付","未发货","否","2017-08-28 16:48:47","","","Rocky","暂无客服","收费授权","收费授权","20.000","10.000","1","10","10.000","0.000","0.000","0.000","0.000","","0.000","微信支付","","","","",""
`400201708281646499392`,"已支付","未发货","否","2017-08-28 16:46:49","","","Rocky","暂无客服","收费授权","收费授权","20.000","10.000","1","10","10.000","0.000","0.000","0.000","0.000","","0.000","微信支付","","","","",""
`400201708281645177516`,"已支付","未发货","否","2017-08-28 16:45:17","","","Rocky","暂无客服","收费授权","收费授权","20.000","10.000","1","10","10.000","0.000","0.000","0.000","0.000","","0.000","微信支付","","","","",""
`400201708281643085943`,"已支付","未发货","否","2017-08-28 16:43:08","","","Rocky","暂无客服","收费授权","收费授权","20.000","10.000","1","10","10.000","0.000","0.000","0.000","0.000","","0.000","微信支付","","","","",""
`400201708281142018360`,"未支付","未发货","否","2017-08-28 11:42:01","","","Rocky","暂无客服","收费授权","收费授权","20.000","10.000","1","10","10.000","0.000","0.000","0.000","0.000","","0.000","支付宝","","","","",""
`400201708281141594175`,"未支付","未发货","否","2017-08-28 11:41:59","","","Rocky","暂无客服","收费授权","收费授权","20.000","10.000","1","10","10.000","0.000","0.000","0.000","0.000","","0.000","支付宝","","","","",""
`400201708281141572876`,"未支付","未发货","否","2017-08-28 11:41:57","","","Rocky","暂无客服","收费授权","收费授权","20.000","10.000","1","10","10.000","0.000","0.000","0.000","0.000","","0.000","支付宝","","","","",""
`400201708281141535355`,"未支付","未发货","否","2017-08-28 11:41:53","","","Rocky","暂无客服","收费授权","收费授权","20.000","10.000","1","10","10.000","0.000","0.000","0.000","0.000","","0.000","支付宝","","","","",""
`400201708281141252445`,"未支付","未发货","否","2017-08-28 11:41:25","","","Rocky","暂无客服","收费授权","收费授权","20.000","10.000","1","10","10.000","0.000","0.000","0.000","0.000","","0.000","支付宝","","","","",""
`400201708281141129108`,"未支付","未发货","否","2017-08-28 11:41:12","","","Rocky","暂无客服","收费授权","收费授权","20.000","10.000","1","10","10.000","0.000","0.000","0.000","0.000","","0.000","支付宝","","","","",""
`400201708281140587135`,"未支付","未发货","否","2017-08-28 11:40:58","","","Rocky","暂无客服","收费授权","收费授权","20.000","10.000","1","10","10.000","0.000","0.000","0.000","0.000","","0.000","支付宝","","","","",""
`400201708251611532430`,"已支付","未发货","否","2017-08-25 16:11:53","","","Rocky","暂无客服","收费授权","收费授权","20.000","10.000","1","10","10.000","0.000","0.000","0.000","0.000","","0.000","支付宝","","","","",""
`400201708251611001691`,"未支付","未发货","否","2017-08-25 16:11:00","","","Rocky","暂无客服","收费授权","收费授权","20.000","10.000","1","10","10.000","0.000","0.000","0.000","0.000","","0.000","支付宝","","","","",""
`400201708251609056064`,"已支付","未发货","否","2017-08-25 16:09:05","","","Rocky","暂无客服","收费授权","收费授权","20.000","9.000","1","9","9.000","0.000","0.000","0.000","0.000","","0.000","支付宝","","","","",""
`400201708251608153162`,"已支付","未发货","否","2017-08-25 16:08:15","","","Rocky","暂无客服","收费授权","收费授权","20.000","9.000","1","9","9.000","0.000","0.000","0.000","0.000","","0.000","支付宝","","","","",""
`400201708251600038429`,"已支付","未发货","否","2017-08-25 16:00:03","","","Rocky","暂无客服","收费授权","收费授权","20.000","10.000","1","10","10.000","0.000","0.000","0.000","0.000","","0.000","微信支付","","","","",""
`400201708251556497683`,"已支付","未发货","否","2017-08-25 15:56:49","","","Rocky","暂无客服","收费授权","收费授权","20.000","10.000","1","10","10.000","0.000","0.000","0.000","0.000","","0.000","支付宝","","","","",""
`400201708251554502521`,"已支付","未发货","否","2017-08-25 15:54:50","","","Rocky","暂无客服","收费授权","收费授权","20.000","10.000","1","10","10.000","0.000","0.000","0.000","0.000","","0.000","支付宝","","","","",""
`400201708251524205998`,"未支付","未发货","否","2017-08-25 15:24:20","","","Rocky","暂无客服","收费授权","收费授权","20.000","10.000","1","10","10.000","0.000","0.000","0.000","0.000","","0.000","支付宝","","","","",""
`400201708241740203667`,"已支付","未发货","否","2017-08-24 17:40:20","","","Rocky","暂无客服","收费授权","收费授权","20.000","10.000","1","10","10.000","0.000","0.000","0.000","0.000","","0.000","微信支付","","","","",""
`400201708241740112437`,"未支付","未发货","否","2017-08-24 17:40:11","","","Rocky","暂无客服","收费授权","收费授权","10.000","2.000","6","12","10.000","0.000","0.000","0.000","0.000","","0.000","支付宝","","","","",""
`400201708241736528762`,"未支付","未发货","否","2017-08-24 17:36:52","","","Rocky","暂无客服","收费授权","收费授权","10.000","2.000","6","12","10.000","0.000","0.000","0.000","0.000","","0.000","支付宝","","","","",""
`400201708211114522630`,"未支付","未发货","否","2017-08-21 11:14:52","","","Rocky","暂无客服","收费授权","收费授权","20.000","10.000","1","10","10.000","0.000","0.000","0.000","0.000","","0.000","支付宝","","","","",""
`400201708211114478949`,"未支付","未发货","否","2017-08-21 11:14:47","","","Rocky","暂无客服","收费授权","收费授权","20.000","10.000","1","10","10.000","0.000","0.000","0.000","0.000","","0.000","支付宝","","","","",""
`400201708211114422900`,"未支付","未发货","否","2017-08-21 11:14:42","","","Rocky","暂无客服","收费授权","收费授权","20.000","10.000","1","10","10.000","0.000","0.000","0.000","0.000","","0.000","支付宝","","","","",""
`400201708151629409465`,"未支付","未发货","否","2017-08-15 16:29:40","","","Rocky","暂无客服","收费授权","收费授权","20.000","10.000","1","10","10.000","0.000","0.000","0.000","0.000","","0.000","支付宝","","","","",""
`400201708151629054833`,"未支付","未发货","否","2017-08-15 16:29:05","","","Rocky","暂无客服","收费授权","收费授权","20.000","10.000","1","10","10.000","0.000","0.000","0.000","0.000","","0.000","支付宝","","","","",""
`400201708151627495140`,"未支付","未发货","否","2017-08-15 16:27:49","","","Rocky","暂无客服","收费授权","收费授权","20.000","10.000","1","10","10.000","0.000","0.000","0.000","0.000","","0.000","支付宝","","","","",""
`400201708111432186665`,"已支付","未发货","否","2017-08-11 14:32:18","","","Rocky","暂无客服","收费授权","收费授权","20.000","9.500","1","9.5","9.500","0.000","0.000","0.000","0.000","","0.000","微信支付","","","","",""
`400201708111428289756`,"已支付","未发货","否","2017-08-11 14:28:28","","","Rocky","暂无客服","收费授权","收费授权","20.000","9.500","1","9.5","9.500","0.000","0.000","0.000","0.000","","0.000","微信支付","","","","",""
`400201708111428054640`,"已支付","未发货","否","2017-08-11 14:28:05","","","Rocky","暂无客服","收费授权","收费授权","109.000","94.050","24","2257.2","94.050","0.000","0.000","0.000","0.000","","0.000","微信支付","","","","",""
